County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,GMC Sierra EV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Freestone,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,8.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,34.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,14.0
Gains,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,4.0,3.0,,5.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,32.0
Galveston,2.0,,,,1.0,4.0,9.0,,8.0,,14.0,5.0,2.0,16.0,12.0,,1.0,28.0,,10.0,8.0,26.0,4.0,3.0,5.0,12.0,,,,,2.0,3.0,46.0,4.0,22.0,46.0,2.0,1.0,51.0,26.0,,1.0,,1.0,4.0,,1.0,17.0,12.0,7.0,53.0,,23.0,79.0,,4.0,,2.0,4.0,14.0,,,4.0,,,,,12.0,29.0,10.0,3.0,1.0,7.0,,1.0,,,,,4.0,17.0,96.0,,21.0,16.0,20.0,9.0,1.0,2.0,2.0,7.0,1.0,4.0,3.0,,9.0,9.0,,13.0,9.0,,,1.0,1.0,6.0,1.0,11.0,18.0,1.0,,6.0,,4.0,,,,2.0,5.0,8.0,,,4.0,30.0,,,,8.0,,6.0,5.0,,18.0,272.0,19.0,20.0,,,2.0,1.0,,,6.0,39.0,528.0,177.0,88.0,611.0,,,10.0,7.0,29.0,,26.0,,43.0,1.0,4.0,3.0,3.0,,,8.0,7.0,8.0,,,,2952.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Gillespie,,,,,,,1.0,,,,1.0,1.0,,,,,,3.0,,2.0,,,,,2.0,,,,,,,,,2.0,2.0,3.0,,,4.0,3.0,,,,,,,,1.0,,4.0,7.0,,3.0,5.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,2.0,3.0,,1.0,,,,,1.0,,,2.0,,,,2.0,1.0,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,3.0,,,,,1.0,,,,1.0,,,1.0,,1.0,,3.0,6.0,,,,,,,1.0,2.0,33.0,9.0,13.0,31.0,,,1.0,,3.0,,3.0,,2.0,,1.0,,,,,,2.0,1.0,,,,183.0
Goliad,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,6.0
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,2.0,5.0,,,7.0,,,,,2.0,,,,,,,,,,,,,,,,,31.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,29.0
Grayson,,,,,,,3.0,,1.0,,3.0,,,1.0,5.0,,,1.0,,2.0,5.0,4.0,2.0,,,,,,,,,,8.0,4.0,16.0,21.0,,1.0,22.0,20.0,,,,,2.0,1.0,,10.0,,1.0,8.0,1.0,20.0,28.0,,,,,3.0,2.0,,,1.0,,,,,5.0,5.0,1.0,1.0,2.0,,1.0,,2.0,,,,1.0,9.0,27.0,,11.0,3.0,6.0,3.0,,2.0,,,,,,,4.0,1.0,,2.0,,,,,1.0,,,,2.0,,,,,,,,,1.0,,4.0,,,7.0,17.0,,,,2.0,,1.0,1.0,,1.0,,5.0,2.0,,,,,,,2.0,12.0,148.0,39.0,11.0,127.0,,,,2.0,9.0,,4.0,,5.0,,,,1.0,,,,1.0,3.0,,,,690.0
Gregg,,,,,,,,,,,1.0,,,2.0,4.0,,,6.0,,,1.0,1.0,,1.0,1.0,3.0,,,,,1.0,,6.0,3.0,4.0,6.0,,,11.0,8.0,,2.0,,,1.0,,,2.0,,1.0,10.0,,8.0,20.0,,,,,4.0,3.0,,,,,,,,3.0,,1.0,,,,,,,,,,,12.0,19.0,,4.0,,5.0,1.0,,2.0,,,,,,,2.0,,,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,12.0,,,1.0,6.0,,,,,,2.0,1.0,,3.0,,,2.0,,,2.0,,,1.0,,6.0,79.0,27.0,11.0,66.0,,,2.0,,8.0,,7.0,,3.0,,,1.0,,,,,2.0,6.0,,,,413.0
Grimes,,,,,,,,,,,,,1.0,1.0,,,,2.0,,3.0,,,,,,,,,,,,,1.0,,1.0,4.0,,,2.0,1.0,,,,,,,,,,,2.0,,1.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,10.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,17.0,3.0,5.0,21.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,96.0
Guadalupe,1.0,1.0,,,,4.0,7.0,,4.0,,7.0,4.0,3.0,7.0,8.0,2.0,1.0,10.0,,3.0,3.0,6.0,1.0,,1.0,2.0,,,,,,,19.0,4.0,15.0,18.0,,,26.0,20.0,,,,,2.0,,1.0,3.0,,7.0,25.0,1.0,14.0,49.0,,,,,2.0,,,,1.0,1.0,,,,3.0,12.0,2.0,,1.0,2.0,1.0,,,,,,,9.0,38.0,,3.0,2.0,3.0,1.0,2.0,2.0,2.0,,,,,,6.0,1.0,,4.0,1.0,,,2.0,,1.0,4.0,3.0,4.0,,1.0,2.0,,,,,,1.0,1.0,6.0,1.0,,3.0,18.0,,,,5.0,,2.0,,,1.0,,6.0,5.0,,,2.0,,,1.0,3.0,14.0,276.0,62.0,30.0,267.0,,,3.0,3.0,15.0,,10.0,,16.0,2.0,2.0,,1.0,,1.0,2.0,3.0,8.0,,,,1165.0
Hale,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,5.0,3.0,,,,,,,,,,1.0,10.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,4.0,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,52.0
Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Hamilton,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,5.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,21.0
Hansford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0
Hardeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0
Hardin,,,,,,,,,,,,,,4.0,3.0,,,1.0,,,,1.0,,,1.0,,,,,,,,3.0,1.0,,1.0,,,3.0,2.0,,,,,,,,,,1.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,7.0,,4.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,26.0,4.0,4.0,19.0,,,,,5.0,,2.0,,1.0,,,,,,,,1.0,1.0,,,,122.0
Harris,48.0,39.0,6.0,4.0,42.0,131.0,165.0,4.0,207.0,13.0,295.0,114.0,90.0,226.0,239.0,27.0,46.0,375.0,24.0,156.0,160.0,429.0,85.0,55.0,89.0,258.0,,5.0,2.0,,10.0,37.0,485.0,80.0,550.0,668.0,36.0,21.0,490.0,454.0,1.0,3.0,,5.0,39.0,8.0,41.0,134.0,131.0,129.0,555.0,7.0,278.0,934.0,,1.0,,11.0,62.0,87.0,,43.0,35.0,33.0,,,4.0,146.0,489.0,203.0,14.0,17.0,174.0,4.0,9.0,4.0,10.0,1.0,3.0,51.0,360.0,1055.0,8.0,329.0,141.0,164.0,88.0,8.0,46.0,16.0,52.0,38.0,49.0,65.0,1.0,92.0,34.0,,133.0,108.0,1.0,1.0,5.0,6.0,207.0,84.0,214.0,372.0,26.0,27.0,97.0,12.0,13.0,,8.0,1.0,20.0,84.0,78.0,8.0,,191.0,585.0,,,2.0,159.0,4.0,225.0,93.0,1.0,501.0,1020.0,543.0,270.0,17.0,,15.0,1.0,,10.0,82.0,423.0,9863.0,2530.0,1779.0,10211.0,7.0,,125.0,59.0,349.0,2.0,259.0,1.0,677.0,31.0,65.0,45.0,11.0,,7.0,120.0,216.0,393.0,,,,44774.0
Harrison,,,,,,1.0,,,,,,,,,1.0,,,3.0,,2.0,2.0,,,,,1.0,,,,,,,,2.0,,2.0,,,3.0,7.0,,,,,1.0,,,,,,4.0,,4.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,10.0,,,,,1.0,,,,,,,,,3.0,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,,,,,1.0,,,,,,1.0,,,,,,,,,24.0,14.0,9.0,28.0,1.0,,1.0,1.0,6.0,,3.0,,1.0,,,,,,,,1.0,2.0,,,,158.0
Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0
Haskell,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Hays,3.0,9.0,,,3.0,10.0,19.0,,8.0,,24.0,5.0,9.0,16.0,23.0,,7.0,49.0,2.0,9.0,15.0,48.0,5.0,1.0,6.0,12.0,,,,,1.0,1.0,18.0,11.0,45.0,66.0,,3.0,90.0,55.0,,1.0,,1.0,2.0,,4.0,19.0,2.0,14.0,55.0,,35.0,108.0,,,,1.0,2.0,4.0,,1.0,2.0,2.0,,,,25.0,54.0,14.0,,4.0,11.0,1.0,2.0,,,,,2.0,13.0,76.0,,25.0,9.0,15.0,21.0,2.0,6.0,5.0,5.0,1.0,6.0,1.0,,11.0,6.0,,4.0,15.0,,,,1.0,10.0,4.0,2.0,7.0,,1.0,2.0,1.0,1.0,,,,4.0,6.0,7.0,,,13.0,69.0,,,,22.0,,8.0,3.0,,22.0,59.0,59.0,56.0,,,1.0,,,2.0,11.0,55.0,875.0,186.0,122.0,918.0,1.0,,12.0,13.0,54.0,1.0,38.0,,64.0,6.0,4.0,3.0,1.0,1.0,2.0,7.0,21.0,45.0,,,,3960.0
Hemphill,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,6.0
Henderson,1.0,1.0,,,,,1.0,,1.0,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,2.0,2.0,3.0,5.0,,,10.0,3.0,,,,,,,,6.0,,1.0,4.0,,7.0,7.0,,,,,,1.0,,,,,,,,4.0,,2.0,,,,,1.0,,,,,,2.0,11.0,,3.0,,2.0,,,,,1.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,2.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,4.0,40.0,22.0,4.0,21.0,,,,1.0,7.0,1.0,5.0,,2.0,,,,1.0,,,,1.0,2.0,,,,218.0
Hidalgo,4.0,1.0,,,3.0,9.0,10.0,,10.0,1.0,13.0,4.0,,29.0,16.0,6.0,1.0,23.0,4.0,8.0,10.0,37.0,6.0,1.0,9.0,21.0,,,,,2.0,3.0,64.0,28.0,20.0,26.0,1.0,2.0,42.0,39.0,,6.0,,1.0,4.0,1.0,4.0,11.0,6.0,16.0,121.0,1.0,12.0,142.0,1.0,,,2.0,13.0,41.0,,,,1.0,,,,8.0,36.0,35.0,,,5.0,,,,,,1.0,2.0,110.0,266.0,,26.0,3.0,4.0,7.0,,2.0,1.0,7.0,4.0,5.0,13.0,1.0,8.0,3.0,,8.0,10.0,,,3.0,,5.0,4.0,8.0,19.0,,1.0,8.0,,,,,,2.0,2.0,8.0,,,20.0,20.0,,,,7.0,,13.0,7.0,,17.0,,10.0,9.0,1.0,,3.0,,,,2.0,48.0,678.0,118.0,112.0,620.0,,,11.0,7.0,28.0,,20.0,,34.0,,5.0,3.0,,,,3.0,21.0,33.0,,,,3311.0
Hill,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,2.0,3.0,,,4.0,2.0,,1.0,,,,1.0,,2.0,1.0,,,,4.0,5.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,6.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,4.0,,,,,,,,,,,,,,,,,,1.0,,1.0,17.0,4.0,3.0,18.0,,,,,6.0,,3.0,,,,,,,,,,,1.0,,,,107.0
Hockley,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,27.0
Hood,,,,,,1.0,4.0,,1.0,,1.0,,2.0,2.0,3.0,,,7.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,5.0,1.0,3.0,10.0,,,6.0,4.0,,,,,3.0,,1.0,3.0,,4.0,8.0,,8.0,11.0,,,,,,2.0,,,,,,,,,9.0,2.0,,,1.0,1.0,1.0,,,,,,2.0,23.0,,9.0,1.0,2.0,2.0,,2.0,,2.0,,1.0,1.0,,6.0,1.0,,,2.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,4.0,11.0,,,,1.0,,,,,1.0,,7.0,2.0,,,1.0,,,,1.0,8.0,83.0,22.0,8.0,63.0,,,2.0,1.0,7.0,,3.0,,4.0,,,,1.0,,,3.0,3.0,6.0,1.0,,,412.0
Hopkins,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,,4.0,,,3.0,3.0,,,,,,,,,,1.0,1.0,,3.0,3.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,2.0,,,,,,,,,1.0,27.0,5.0,4.0,10.0,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,91.0
Houston,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,23.0
Howard,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,1.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,9.0,,,1.0,2.0,5.0,,1.0,,,,,1.0,,,,,,1.0,,,,57.0
Hudspeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Hunt,,,,,,,1.0,,,,,,,4.0,,,,1.0,,,3.0,,,,,,,,,,,,4.0,5.0,7.0,21.0,1.0,1.0,18.0,8.0,,1.0,,,1.0,,,3.0,1.0,3.0,4.0,,9.0,18.0,,,,,2.0,,,,,,,,,2.0,5.0,2.0,,,,,,,,,,,2.0,17.0,,3.0,,4.0,1.0,,,,,,,,,4.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,2.0,,,1.0,7.0,,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,2.0,3.0,107.0,15.0,7.0,71.0,,,1.0,,13.0,,1.0,,7.0,1.0,,,,,,,1.0,,,,,405.0
Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,3.0,,1.0,,,,,,,,,,,,,,,24.0
Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
Jack,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,12.0
Jackson,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,14.0
Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,6.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,2.0,6.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,41.0
Jeff Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,13.0
Jefferson,,1.0,,,,1.0,2.0,,,,1.0,,,2.0,4.0,,,9.0,,2.0,3.0,1.0,,2.0,2.0,1.0,,,,,,2.0,10.0,1.0,23.0,9.0,,,14.0,13.0,,,,,1.0,,,2.0,2.0,3.0,12.0,,7.0,8.0,,,,1.0,3.0,2.0,,,,1.0,,,,2.0,4.0,2.0,,,1.0,,,,,,,,7.0,15.0,,11.0,1.0,2.0,,1.0,,,2.0,1.0,1.0,,,8.0,2.0,,1.0,,,,,,1.0,2.0,5.0,8.0,,2.0,,,,,,,,,1.0,,,2.0,8.0,,,,,,1.0,1.0,,,,6.0,2.0,,,,,,,2.0,11.0,123.0,38.0,27.0,128.0,,,3.0,1.0,5.0,,6.0,1.0,7.0,,,,2.0,,,2.0,2.0,4.0,,,,607.0
Jim Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0
