County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Galveston,,2.0,,,,13.0,4.0,2.0,6.0,9.0,7.0,,,,15.0,13.0,,18.0,25.0,2.0,2.0,5.0,13.0,1.0,28.0,,,,2.0,2.0,41.0,1.0,20.0,51.0,,,1.0,52.0,25.0,,1.0,,,1.0,2.0,,,,16.0,7.0,49.0,,22.0,64.0,,10.0,,4.0,,3.0,,,2.0,5.0,,,11.0,3.0,3.0,24.0,,8.0,6.0,,1.0,,,,3.0,19.0,85.0,,19.0,14.0,29.0,1.0,2.0,2.0,4.0,,4.0,3.0,,8.0,9.0,,14.0,,7.0,,,,2.0,5.0,1.0,10.0,20.0,,,,3.0,4.0,,1.0,7.0,,8.0,,4.0,30.0,,,,6.0,,7.0,5.0,21.0,262.0,17.0,20.0,,,3.0,,,7.0,18.0,510.0,170.0,86.0,542.0,,,8.0,7.0,32.0,,22.0,,2.0,45.0,4.0,2.0,3.0,,,8.0,7.0,9.0,,,,2743.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Gillespie,,,,,,1.0,1.0,,,1.0,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,1.0,2.0,3.0,,,,4.0,3.0,,,,,,,,,,1.0,3.0,8.0,,3.0,4.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,2.0,2.0,,1.0,,,,1.0,,,2.0,,,,3.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,3.0,,,,,1.0,,,,,,,1.0,1.0,,3.0,5.0,,,,,,,1.0,34.0,10.0,13.0,29.0,,,1.0,,2.0,,3.0,,,2.0,1.0,,,,,,2.0,1.0,,,,172.0
Goliad,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,6.0
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,5.0,1.0,,7.0,,,,,2.0,,,,,,,,,,,,,,,,,28.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,31.0
Grayson,,,,,,3.0,1.0,,2.0,2.0,,,,,1.0,5.0,,6.0,3.0,2.0,,,,,2.0,,,,,,5.0,2.0,13.0,20.0,,,1.0,23.0,19.0,,,,,,2.0,,1.0,,10.0,2.0,9.0,1.0,21.0,24.0,,,,,,1.0,,,3.0,1.0,,,5.0,,3.0,4.0,,,,1.0,,2.0,,,1.0,9.0,25.0,,9.0,2.0,8.0,,2.0,,,,,,,4.0,2.0,,2.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,2.0,,6.0,17.0,,,,2.0,,1.0,1.0,1.0,,5.0,2.0,,,,,,2.0,9.0,145.0,36.0,10.0,122.0,,,,2.0,8.0,,4.0,,,6.0,,,1.0,,,1.0,1.0,3.0,,,,654.0
Gregg,,,,,,1.0,,,,,,,,,2.0,4.0,,1.0,1.0,,1.0,1.0,2.0,,6.0,,,,1.0,,5.0,2.0,5.0,8.0,,,,11.0,8.0,,1.0,,,,1.0,,,,2.0,1.0,9.0,,7.0,18.0,,,,,,,,,3.0,1.0,,,3.0,,,,,,,,,,,,,11.0,17.0,,4.0,,6.0,,2.0,,,,,,,2.0,,,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,11.0,,,6.0,,,,,,2.0,1.0,5.0,,,2.0,,,2.0,,1.0,,1.0,72.0,24.0,11.0,62.0,,,2.0,,7.0,,6.0,,,4.0,1.0,1.0,,,,,2.0,6.0,,,,382.0
Grimes,,,,,,,,1.0,1.0,,,,,,1.0,,,3.0,,,,,,,2.0,,,,,,1.0,,1.0,4.0,,,,2.0,,,,,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,9.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,13.0,5.0,5.0,20.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,90.0
Guadalupe,,1.0,1.0,,,6.0,5.0,3.0,7.0,6.0,4.0,,,,9.0,6.0,2.0,5.0,5.0,1.0,,1.0,1.0,1.0,10.0,,,,,,11.0,3.0,13.0,19.0,,,,26.0,20.0,,,,,,2.0,,,1.0,3.0,6.0,25.0,1.0,15.0,38.0,,,,,,,,,,,,,3.0,,1.0,10.0,1.0,2.0,2.0,1.0,,,,,1.0,9.0,28.0,,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,7.0,1.0,,3.0,,1.0,,,1.0,,1.0,3.0,3.0,4.0,,,1.0,1.0,,,1.0,1.0,1.0,7.0,,3.0,21.0,,,,4.0,,2.0,,1.0,,5.0,5.0,,,1.0,,,3.0,7.0,256.0,60.0,32.0,241.0,,,1.0,3.0,14.0,,10.0,,2.0,15.0,2.0,,1.0,,1.0,2.0,3.0,8.0,,,,1064.0
Hale,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,5.0,2.0,,,,,,,,,,,1.0,9.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,4.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,3.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,45.0
Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,18.0
Hansford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0
Hardeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Hardin,,,,,,,,,,,,,,,4.0,3.0,,,,,,1.0,,,1.0,,,,,,2.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,1.0,3.0,,3.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,7.0,,4.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,29.0,5.0,4.0,17.0,,,,,5.0,,3.0,,,1.0,,,,,,,1.0,1.0,,,,116.0
Harris,2.0,33.0,41.0,7.0,4.0,323.0,122.0,92.0,216.0,156.0,185.0,9.0,5.0,4.0,224.0,229.0,27.0,322.0,363.0,70.0,44.0,89.0,243.0,42.0,415.0,23.0,,,10.0,36.0,364.0,27.0,557.0,695.0,1.0,26.0,21.0,522.0,435.0,1.0,2.0,5.0,1.0,5.0,37.0,,8.0,37.0,129.0,124.0,548.0,8.0,284.0,830.0,,121.0,,12.0,38.0,27.0,29.0,,39.0,57.0,,4.0,149.0,7.0,29.0,450.0,3.0,175.0,164.0,4.0,9.0,4.0,10.0,,52.0,407.0,966.0,8.0,273.0,80.0,241.0,8.0,40.0,16.0,43.0,33.0,50.0,91.0,1.0,85.0,31.0,,117.0,,91.0,1.0,1.0,6.0,7.0,214.0,87.0,204.0,387.0,14.0,,26.0,89.0,18.0,1.0,21.0,75.0,11.0,73.0,,185.0,586.0,,,2.0,130.0,4.0,203.0,98.0,505.0,988.0,544.0,264.0,12.0,,17.0,,10.0,65.0,149.0,9429.0,2536.0,1762.0,9094.0,9.0,,106.0,68.0,341.0,2.0,227.0,,28.0,656.0,57.0,48.0,9.0,,8.0,117.0,215.0,374.0,,,,42050.0
Harrison,,,1.0,,,,,,1.0,,,,,,,1.0,,4.0,,,,,1.0,,3.0,,,,,,,2.0,,1.0,,,,3.0,5.0,,,,,,1.0,,,,,,2.0,,5.0,5.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,3.0,9.0,,,,1.0,,,,,,,,,3.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,1.0,,,,,,,,26.0,14.0,7.0,22.0,1.0,,1.0,1.0,6.0,,3.0,,,1.0,,,,,,,1.0,2.0,,,,146.0
Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Haskell,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,7.0
Hays,,3.0,6.0,,,22.0,6.0,8.0,15.0,20.0,8.0,,,2.0,18.0,25.0,,29.0,34.0,4.0,,5.0,10.0,7.0,50.0,2.0,,,1.0,1.0,19.0,5.0,49.0,68.0,,,4.0,93.0,53.0,,,,1.0,2.0,3.0,,,3.0,19.0,14.0,56.0,,38.0,93.0,,2.0,,1.0,,2.0,1.0,,2.0,3.0,,,25.0,1.0,4.0,46.0,,13.0,9.0,1.0,2.0,,,,3.0,15.0,66.0,,22.0,2.0,37.0,2.0,7.0,5.0,5.0,,5.0,1.0,,10.0,7.0,,3.0,,13.0,,,,1.0,9.0,5.0,2.0,7.0,,,1.0,3.0,1.0,,4.0,5.0,1.0,7.0,,11.0,73.0,,,,19.0,,8.0,3.0,21.0,57.0,55.0,50.0,,,1.0,,3.0,6.0,26.0,799.0,193.0,111.0,823.0,1.0,,9.0,13.0,50.0,1.0,36.0,,6.0,60.0,5.0,3.0,1.0,1.0,1.0,10.0,16.0,41.0,,,,3670.0
Hemphill,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0
Henderson,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,3.0,,4.0,6.0,,,,11.0,3.0,,,,,,,,,,4.0,1.0,5.0,,7.0,6.0,,,,,,,,,,,,,4.0,,,,,1.0,,,1.0,,,,,2.0,9.0,,1.0,,2.0,,,,1.0,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,2.0,37.0,23.0,4.0,18.0,,,,,6.0,1.0,5.0,,,3.0,,,1.0,,,,1.0,2.0,,,,203.0
Hidalgo,,3.0,1.0,,,12.0,3.0,,15.0,11.0,8.0,1.0,,,29.0,18.0,3.0,19.0,30.0,4.0,1.0,10.0,22.0,1.0,25.0,4.0,,,2.0,3.0,54.0,15.0,20.0,32.0,,,2.0,44.0,40.0,,5.0,,,,4.0,,,2.0,11.0,16.0,81.0,1.0,14.0,107.0,1.0,5.0,,2.0,,,1.0,,6.0,25.0,,,8.0,1.0,,33.0,,30.0,5.0,,,,,,3.0,113.0,236.0,,23.0,3.0,12.0,,1.0,1.0,4.0,5.0,6.0,16.0,1.0,7.0,2.0,,8.0,,7.0,,,2.0,,3.0,5.0,7.0,18.0,,,1.0,7.0,,,2.0,2.0,,8.0,,19.0,25.0,,,,4.0,,10.0,7.0,15.0,,10.0,9.0,,,3.0,,,2.0,10.0,654.0,116.0,107.0,574.0,,,9.0,7.0,28.0,,16.0,,,30.0,6.0,3.0,,,,3.0,19.0,30.0,,,,3009.0
Hill,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,4.0,,,,6.0,2.0,,,,,,,,1.0,,2.0,,,,3.0,4.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,6.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,18.0,3.0,3.0,13.0,,,,,6.0,,2.0,,,,,,,,,,,1.0,,,,99.0
Hockley,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,23.0
Hood,,,1.0,,,2.0,,2.0,1.0,4.0,1.0,,,,2.0,3.0,,4.0,2.0,1.0,,,,,8.0,1.0,,,,,4.0,1.0,3.0,12.0,,,,8.0,5.0,,,,,,3.0,,,1.0,4.0,4.0,5.0,,8.0,6.0,,,,,,,,,,2.0,,,,,,8.0,,2.0,1.0,1.0,1.0,,,,,2.0,20.0,,10.0,1.0,5.0,,1.0,,1.0,,1.0,1.0,,5.0,1.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,,,,4.0,10.0,,,,,,,,1.0,,7.0,2.0,,,1.0,,,1.0,5.0,76.0,20.0,8.0,59.0,,,1.0,,6.0,,3.0,,,3.0,,,,,,3.0,4.0,7.0,1.0,,,386.0
Hopkins,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,4.0,,,,3.0,3.0,,,,,,,,,,,1.0,1.0,,3.0,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,2.0,,,,,,,,,29.0,4.0,3.0,10.0,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,88.0
Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,17.0
Howard,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,1.0,,10.0,,,1.0,2.0,5.0,,,,,,,1.0,,,,,,1.0,,,,58.0
Hudspeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Hunt,,,,,,,,,,1.0,,,,,2.0,,,3.0,1.0,,,,,,1.0,,,,,,3.0,4.0,6.0,21.0,,,1.0,19.0,7.0,,,,,,1.0,,,,3.0,2.0,5.0,,8.0,18.0,,1.0,,,,,,,2.0,,,,2.0,,,2.0,,1.0,1.0,,,,,,,3.0,13.0,,3.0,,5.0,,,,,,,1.0,,3.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,1.0,7.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,2.0,1.0,97.0,17.0,7.0,61.0,,,1.0,,11.0,,1.0,,1.0,5.0,,1.0,,,,,1.0,,,,,366.0
Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,23.0
Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
Jack,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.0
Jackson,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,12.0
Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,2.0,5.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,38.0
Jeff Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,13.0
Jefferson,,,1.0,,,1.0,,,3.0,3.0,,,,,1.0,3.0,,6.0,1.0,,1.0,2.0,1.0,,9.0,,,,,2.0,8.0,,22.0,8.0,,,,15.0,15.0,,,1.0,,,2.0,,,,2.0,4.0,11.0,,7.0,5.0,,2.0,,1.0,,,1.0,,2.0,2.0,,,3.0,,,3.0,,1.0,1.0,,,,,,1.0,6.0,13.0,,12.0,,3.0,1.0,,,2.0,1.0,1.0,,,8.0,1.0,,1.0,,,,,,,,2.0,4.0,8.0,,,1.0,,,,,,,1.0,,2.0,8.0,,,,,,,1.0,,,7.0,2.0,,,,,,1.0,3.0,113.0,38.0,27.0,117.0,,,3.0,1.0,5.0,,6.0,1.0,,5.0,1.0,,1.0,,,2.0,2.0,3.0,,,,565.0
Jim Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,4.0
Jim Wells,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,11.0,3.0,2.0,5.0,,,1.0,,,,,,,4.0,,,,,,,,,,,,50.0
Johnson,,,1.0,1.0,,3.0,,,1.0,1.0,1.0,,,,5.0,5.0,,1.0,8.0,,,2.0,2.0,,2.0,,,,,2.0,3.0,3.0,3.0,13.0,,1.0,,28.0,16.0,,,,,,5.0,,,1.0,10.0,5.0,19.0,,11.0,45.0,,2.0,,1.0,,,,,1.0,1.0,,,4.0,1.0,,12.0,,7.0,,,,,,,2.0,7.0,35.0,,12.0,1.0,9.0,,,1.0,1.0,,,2.0,,4.0,,,1.0,,5.0,,,1.0,1.0,4.0,1.0,2.0,2.0,,,,3.0,,,1.0,1.0,1.0,5.0,,8.0,20.0,,,,1.0,,1.0,3.0,7.0,9.0,7.0,8.0,1.0,,2.0,,,2.0,8.0,252.0,51.0,34.0,157.0,,,2.0,1.0,14.0,,5.0,,,17.0,1.0,,,,,,3.0,4.0,,,,947.0
Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,2.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,17.0
Karnes,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,23.0
